name;image_path;description;rating;address;city_id;phone_number;latitude;longitude;
Московский Кремль;/images/image1.png;Крепость с комплексом церквей, дворцов и музеев с произведениями искусства и государственными регалиями.;4.0;Москва, Ивановская площадь;1;7 (912) 345-67-89;55.7520;37.6177
Красная Площадь;/images/image2.png;Знаменитая площадь с Кремлем, собором Василия Блаженного XVI века и мавзолеем Ленина.;3.0;Москва, ул Тверская, д 10;1;7 (913) 456-78-90;55.7535;37.6212
Храм Василия Блаженного;/images/image3.png;Собор XVI века с разноцветными куполами (ныне музей).;4.0;Москва, Красная площадь, 2;1;7 (914) 567-89-01;55.7525;37.6232
Большой театр;/images/image4.png;Театр в неоклассическом стиле с роскошными интерьерами, известный на весь мир своими балетами и операми.;3.0;Москва, Театральная площадь, 1;1;7 (915) 678-90-12;55.7602;37.6186
Государственная Третьяковская галерея;/images/image5.png;Музей, в котором представлено более 180 000 произведений российского искусства разных периодов.;3.0;Москва, Лаврушинский переулок, 10;1;7 (916) 789-01-23;55.7417;37.6208
Государственный музей Петергоф;/images/image6.png;Приморский музейный комплекс с бывшим царским дворцом, парками и фонтанами.;5.0;Санкт-Петербург, Петергоф, 1;2;7 (917) 890-12-34;59.8839;29.9058
Исаакиевский собор;/images/image7.png;Православный собор (ныне музей) с позолоченным куполом и роскошным убранством, построенный в 1818 году.;5.0;Санкт-Петербург, Исаакиевская площадь, 4;2;7 (918) 901-23-45;59.9341;30.3063
Мечеть Кул Шариф;/images/image8.png;Роскошно украшенная современная мечеть на территории с голубыми минаретами и куполом.;3.0;Казань, Кремлевская улица, 1;3;7 (919) 012-34-56;55.7984;49.1052
Выставка достижений народного хозяйства;/images/image9.png;Знаменитый выставочный комплекс и конгресс-центр с залами на 500 человек. Открыт в 1939 году.;3.0;Москва, Проспект Мира, 119;1;7 (920) 123-45-67;55.8263;37.6377
Спас на Крови;/images/image10.png;Храм XIX века, украшенный мозаикой и мрамором и увенчанный разноцветными куполами.;3.0;Санкт-Петербург, Канал Грибоедова, 2Б;2;7 (921) 234-56-78;59.9401;30.3286
Эрмитаж;/images/image11.png;Музей, основанный Екатериной Великой, с богатой коллекцией произведений искусства и древностей.;4.0;Санкт-Петербург, Дворцовая набережная, 34;2;7 (922) 345-67-89;59.9401;30.3128
Музей-заповедник Царицыно;/images/image12.png;Большой дворец XVIII века с пейзажным парком и историко-архитектурным и художественным музеем.;5.0;Москва, ул. Дольская, 1;1;7 (923) 456-78-90;55.6127;37.6841
Нижегородский Кремль;/images/image13.png;Кирпичная средневековая крепость с 12 башнями – сейчас здесь располагаются музеи и проходят концерты.;3.0;Нижний Новгород, Кремль 6А;4;7 (924) 567-89-01;56.3270;44.0057
Петропавловская крепость;/images/image14.png;Основанная Петром I крепость с собором и музеем истории.;4.0;Санкт-Петербург, территория Петропавловской крепости, дом 3;2;7 (925) 678-90-12;59.9501;30.3149
Дворцовая площадь;/images/image15.png;Центральная площадь c Александровской колонной, воздвигнутой в честь победы над Наполеоном.;4.0;Санкт-Петербург, Дворцовая площадь;2;7 (926) 789-01-23;59.9390;30.3155
Казанский кафедральный собор;/images/image16.png;Главный городской собор, в советскую эпоху превращенный в музей.;4.0;Санкт-Петербург, Невский проспект, 40;2;7 (927) 890-12-34;59.9342;30.3245
Екатерининский дворец;/images/image17.png;Дворец XVIII века в стиле барокко и большой парк, где императорская семья проводила лето.;3.0;Царское Село, Екатерининский парк, 1;2;7 (928) 901-23-45;59.7160;30.3956
Храм Христа Спасителя;/images/image18.png;Златоглавый православный собор, восстановленный в 90-х годах XX века. Известен богатым внутренним убранством с фресками.;5.0;Москва, ул. Волхонка, 15;1;7 (929) 012-34-56;55.7447;37.6055
Свято-Троицкая Сергиева Лавра;/images/image19.png;Украшенный фресками XVII века православный монастырь, основанный святым Сергием Радонежским в XIV веке.;5.0;Москва, Сергиев Посад, ул. Красной Армии, 1;1;7 (930) 123-45-67;56.3111;38.1305
Оружейная палата;/images/image20.png;Музей на территории Кремля с экспозицией оружия и ювелирных изделий.;4.0;Москва, Кремль, Кремлёвская набережная, 1, стр. 3;1;7 (931) 234-56-78;55.7495;37.6135
